,Number1,Number2,Number3,Number4
1290,ten,,,
1291,two,,,
1292,two,,,
1293,,,,
1294,,,,
1295,,,,
1296,,,,
1297,,,,
1298,,,,
1299,,,,
1300,,,,
1301,,,,
1302,,,,
1303,,,,
1304,,,,
1305,ten,,,
1306,,,,
1307,,,,
1308,,,,
1309,,,,
1310,,,,
1311,,,,
1312,one,one,ten,ten
1313,,,,
1314,two,two,,
1315,two,,,
1316,two,,,
1317,,,,
1318,,,,
1319,,,,
1320,,,,
1321,,,,
1322,one,,,
1323,one,,,
1324,,,,
1325,,,,
1326,,,,
1327,,,,
1328,one,one,one,
1329,,,,
1330,two,,,
1331,,,,
1332,,,,
1333,,,,
1334,,,,
1335,two,two,two,two
1336,,,,
1337,,,,
1338,,,,
1339,,,,
1340,,,,
1341,two,two,one,
1342,,,,
1343,,,,
1344,,,,
1345,,,,
1346,,,,
1347,,,,
1348,three,,,
1349,three,,,
1350,,,,
1351,ten,,,
1352,ten,,,
1353,,,,
1354,one,,,
1355,one,,,
1356,,,,
1357,,,,
1358,,,,
1359,,,,
1360,,,,
1361,,,,
1362,,,,
1363,two,,,
1364,one,,,
1365,,,,
1366,,,,
1367,one,,,
1368,,,,
1369,,,,
1370,two,,,
1371,,,,
1372,,,,
1373,,,,
1374,,,,
1375,,,,
1376,,,,
1377,,,,
1378,one,ten,ten,
1379,ten,ten,ten,ten
1380,ten,one,ten,
1381,ten,two,ten,three
1382,,,,
1383,,,,
1384,one,,,
1385,,,,
1386,,,,
1387,,,,
1388,,,,
1389,,,,
1390,,,,
1391,,,,
1392,,,,
1393,,,,
1394,,,,
1395,,,,
1396,,,,
1397,,,,
1398,,,,
1399,,,,
1400,,,,
1401,,,,
1402,two,,,
1403,two,,,
1404,,,,
1405,,,,
1406,,,,
1407,,,,
1408,one,one,,
1409,,,,
1410,,,,
1411,one,,,
1412,one,,,
1413,ten,,,
1414,ten,,,
1415,ten,,,
1416,,,,
1417,,,,
1418,,,,
1419,,,,
1420,one,,,
1421,,,,
1422,,,,
1423,,,,
1424,,,,
1425,one,,,
1426,,,,
1427,ten,,,
1428,,,,
1429,,,,
1430,ten,,,
1431,three,one,,
1432,,,,
1433,,,,
1434,,,,
1435,one,three,,
1436,,,,
1437,one,four,,
1438,,,,
1439,two,three,one,
1440,,,,
1441,,,,
1442,,,,
1443,one,two,one,
1444,,,,
1445,,,,
1446,,,,
1447,,,,
1448,one,one,,
1449,,,,
1450,,,,
1451,,,,
1452,,,,
1453,,,,
1454,,,,
1455,one,,,
1456,one,,,
1457,,,,
1458,four,one,,
1459,,,,
1460,one,,,
1461,,,,
1462,,,,
1463,one,,,
1464,ten,ten,ten,ten
1465,,,,
1466,,,,
1467,,,,
1468,,,,
1469,,,,
1470,one,one,,
1471,ten,ten,,
1472,,,,
1473,,,,
1474,,,,
1475,,,,
1476,,,,
1477,,,,
1478,,,,
1479,ten,,,
1480,,,,
1481,one,,,
1482,one,,,
1483,,,,
1484,,,,
1485,,,,
1486,,,,
1487,,,,
1488,four,,,
1489,,,,
1490,one,,,
1491,,,,
1492,one,,,
1493,,,,
1494,,,,
1495,two,,,
1496,one,,,
1497,,,,
1498,,,,
1499,,,,
1500,,,,
1501,,,,
